NCTId,BriefTitle,DetailedDescription,Phase,Status,WhyStopped,Interventions,Conditions,Sponsor,InterventionText,is_small_molecule,WhyStopped_clean,toxicity_flag,DrugName
NCT00901927,"Bendamustine, Mitoxantrone, and Rituximab (BMR) for Patients With Untreated High Risk Follicular Lymphoma","The Study Drugs:

Bendamustine is designed to damage and destroy the DNA (genetic material) of cancer cells.

Mitoxantrone is designed to stop cancer cells from making DNA, which may stop the cells from making more cells.

Rituximab is designed to attach to lymphoma cells, which may cause them to die.

Study Drug Administration:

If you are found to be eligible to take part in this study, you will receive the study drugs in 28-day ""cycles.""

On Days 1 and 2 of each cycle, you will receive bendamustine through a needle in a vein over 30-60 minutes.

On Day 1 of each cycle, you will receive rituximab by vein over several hours, depending on how well you tolerate it. Usually, the first dose of rituximab is given over 6-8 hours. If you tolerate the first dose well, you will receive the next doses over 4 hours.

On Day 2 of each cycle, you will receive mitoxantrone by vein over 15 minutes.

Study Visits:

At every study visit (Days 1, 8, 15, and 22 of each cycle), your vital signs will be measured. You will be asked if you have experienced any side effects and to list any drugs you may be taking. The measurement of vital signs on Days 8, 15, and 22 of each cycle may be done by your personal doctor, and the results can be sent in to the study staff.

On Day 1 of each cycle, the following tests and procedures will be performed:

* You will have a physical exam, including measurement of your weight.
* Blood (about 1-2 teaspoons) will be drawn for routine tests.
* You will have a performance status evaluation.

On Days 8, 15, and 22 of each cycles, blood (about 1 teaspoon) will be drawn for routine tests. These tests may be performed by your personal doctor, and the results can be sent in to the study staff.

At the end of Cycle 3, you will have a positron emission tomography (PET) scan and/or CT scan to check the status of the disease.

If your bone marrow showed lymphoma at the beginning of the study, you will have an additional bone marrow aspiration and biopsy if the disease goes away while you are on study. This will be to check the status of the disease.

If at any time the doctor thinks it is necessary, you will have extra blood and urine collected for routine tests.

Length of Study Participation:

You may receive up to 6 cycles (about 6 months) of study treatment. If the disease gets worse or intolerable side effects occur, you will be taken off study treatment early.

End-of-Study Visit:

At 30-40 days after your last dose of study drugs, you will have an end-of-study visit. At this visit, the following tests and procedures will be performed:

* You will have a physical exam, including measurement of your vital signs and weight.
* You will have a performance status evaluation.
* Blood (about 1-2 teaspoons) will be drawn for routine tests.
* You will have CT and PET scans to check the status of the disease.
* You will be asked if you have experienced any side effects and to list any drugs you may be taking.

Long-Term Follow-Up:

Every 3 months for 2 years after your study treatment ends, you will have follow-up visits. If after 2 years your body shows no signs of cancer, you will have follow-up visits every 6 months after that. These follow-up tests are considered routine care.

The following tests and procedures will be performed at these visits:

* You will have a performance status evaluation.
* Blood (about 1-2 teaspoons) will be drawn for routine tests.
* You will be asked how you are doing and whether you are receiving any new treatments for the disease.
* You will have CT and PET scans to check the status of the disease.
* The study doctor will check the results of any other scans and tests you may have for routine care. The study doctor will also check the results of physical exams you may have.

This is an investigational study. All 3 study drugs are commercially available. Rituximab is FDA approved to treat follicular lymphoma. Mitoxantrone is FDA approved for use in combination for certain types of leukemia. Bendamustine is FDA approved to treat chronic lymphocytic leukemia.

The combination of rituximab, mitoxantrone, and bendamustine is not FDA approved to treat follicular lymphoma. At this time, it is only being used in research.

Up to 37 patients will take part in this study. All will be enrolled at M. D. Anderson.",[],TERMINATED,Study was closed early due to toxicity,"[{'type': 'DRUG', 'name': 'Bendamustine', 'description': 'Starting dose 90 mg/m\\^2 by vein over 30-60 minutes on Days 1 and 2 of each cycle.', 'armGroupLabels': ['Bendamustine + Mitoxantrone + Rituximab'], 'otherNames': ['Bendamustine Hydrochloride', 'Bendamustine HCI', 'CEP-18083', 'SDX-105', 'Treanda']}, {'type': 'DRUG', 'name': 'Mitoxantrone', 'description': '10 mg/m\\^2 by vein over 15 minutes on Day 2 of each cycle.', 'armGroupLabels': ['Bendamustine + Mitoxantrone + Rituximab'], 'otherNames': ['Novantrone']}, {'type': 'DRUG', 'name': 'Rituximab', 'description': '375 mg/m\\^2 by vein over several hours on Day 1 of each cycle.', 'armGroupLabels': ['Bendamustine + Mitoxantrone + Rituximab'], 'otherNames': ['Rituxan']}]",['Follicular Lymphoma'],M.D. Anderson Cancer Center,"[{'type': 'drug', 'name': 'bendamustine', 'description': 'starting dose 90 mg/m\\^2 by vein over 30-60 minutes on days 1 and 2 of each cycle.', 'armgrouplabels': ['bendamustine + mitoxantrone + rituximab'], 'othernames': ['bendamustine hydrochloride', 'bendamustine hci', 'cep-18083', 'sdx-105', 'treanda']}, {'type': 'drug', 'name': 'mitoxantrone', 'description': '10 mg/m\\^2 by vein over 15 minutes on day 2 of each cycle.', 'armgrouplabels': ['bendamustine + mitoxantrone + rituximab'], 'othernames': ['novantrone']}, {'type': 'drug', 'name': 'rituximab', 'description': '375 mg/m\\^2 by vein over several hours on day 1 of each cycle.', 'armgrouplabels': ['bendamustine + mitoxantrone + rituximab'], 'othernames': ['rituxan']}]",True,study was closed early due to toxicity,True,bendamustine
NCT00565227,Phase I Study of Vorinostat in Combination With Docetaxel in Patients With Advanced and Relapsed Solid Malignancies.,"Vorinostat (also known as Suberoylanilide Hydroxamic Acid) is a new investigational drug that is not approved by the Food and Drug Administration. This drug has shown promising activity against a number of cancers. We want to determine if treatment with vorinostat in combination with a standard type of chemotherapy (docetaxel \[Taxotere™\]) is safe and possibly better than treatment with docetaxel alone. We also want to find out more about how patients and the cancer will react to the drugs, what happens to vorinostat in the human body (how your body reacts to this drug and breaks it down) and about its side effects when used in combination with chemotherapy (docetaxel).

The purpose of this study is to:

* Test the safety of the research study drug, vorinostat
* To determine if any toxicities or severe side effects occur when combining vorinostat with docetaxel (a standard chemotherapy treatment)
* To study how your body takes in, breaks down and responds to vorinostat
* To obtain more evidence of the ability of vorinostat to react against cancer, such as the kind that you have.

The use of vorinostat in combination with chemotherapy such as docetaxel may result in improved response of the cancer to treatment. Indeed, vorinostat may have an added benefit with docetaxel by promoting cancer cell death. This is because both drugs can interfere with the ability of the cancer to grow, although the way vorinostat does this is not clearly defined. Vorinostat and docetaxel both can disrupt the cancer's ability to produce daughter cancer cells and therefore, the administration of vorinostat before docetaxel is hoped to be better then either drug alone.",[],TERMINATED,closed due to toxicity,"[{'type': 'DRUG', 'name': 'vorinostat (suberoylanilide hydroxamic acid)', 'description': 'Vorinostat will be administered by mouth as a pill for the first 14 days on a continuous basis during of each 21-day cycle (2 weeks of treatment, 1 week break).', 'armGroupLabels': ['docetaxel plus vorinostat'], 'otherNames': ['Zolinza,NSC 701852']}, {'type': 'DRUG', 'name': 'docetaxel', 'description': 'Docetaxel will be administered as an intravenous infusion (through the vein) on day 4 of each 21-day cycle.', 'armGroupLabels': ['docetaxel plus vorinostat'], 'otherNames': ['Taxotere']}]","['Non-Small-Cell Lung Carcinoma', 'Prostate Cancer', 'Bladder Cancer', 'Urothelial Carcinoma']",University of Michigan Rogel Cancer Center,"[{'type': 'drug', 'name': 'vorinostat (suberoylanilide hydroxamic acid)', 'description': 'vorinostat will be administered by mouth as a pill for the first 14 days on a continuous basis during of each 21-day cycle (2 weeks of treatment, 1 week break).', 'armgrouplabels': ['docetaxel plus vorinostat'], 'othernames': ['zolinza,nsc 701852']}, {'type': 'drug', 'name': 'docetaxel', 'description': 'docetaxel will be administered as an intravenous infusion (through the vein) on day 4 of each 21-day cycle.', 'armgrouplabels': ['docetaxel plus vorinostat'], 'othernames': ['taxotere']}]",True,closed due to toxicity,True,vorinostat (suberoylanilide hydroxamic acid)
NCT04803227,Safety and Tolerability of Emricasan in Symptomatic Outpatients Diagnosed With Mild-COVID-19,"A safety and tolerability study will be performed in 50 symptomatic outpatient mild-COVID-19 patients using Emricasan at 25mg BID dosing for 14 days with a 1:1 active: placebo of mild-COVID-19 patients receiving standard of care therapy. Although EMR has been extensively studied in humans in a total of 18 Phase 1 and Phase 2 studies, with an excellent safety and tolerance profile, it has not been used in the setting of COVID-19, therefore necessitating an initial safety and tolerability study looking at a no difference between AEs/SAEs for comparison between active and placebo group. The pharmacokinetics of EMR has been extensively studied; therefore, the Investigators will opportunistically sample patients at the end of the study to confirm that the Emricasan PK is not altered in COVID-19 patients. The primary endpoint will be cumulative incidence of AE/SAEs through day 14. Secondary endpoints will include various clinical and laboratory measures and patient reported outcomes (PROs) using a COVID-19-related assessment tool, SARS-CoV-2 viral PCR, titers of anti-SARS-CoV-2 neutralizing and quantitative antibodies and immunological studies as described in the protocol.",[],TERMINATED,Unforeseeable difficulties in recruiting patients. There were no reported serious adverse events.,"[{'type': 'DRUG', 'name': 'Emricasan', 'description': 'Emricasan 25 mg BID (days 1-14). Oral (capsule) administration.', 'armGroupLabels': ['Emricasan']}, {'type': 'OTHER', 'name': 'Placebo', 'description': 'Placebo BID \\*days 1-14). Oral (capsule) administration.', 'armGroupLabels': ['Placebo']}]",['Covid19'],Histogen,"[{'type': 'drug', 'name': 'emricasan', 'description': 'emricasan 25 mg bid (days 1-14). oral (capsule) administration.', 'armgrouplabels': ['emricasan']}, {'type': 'other', 'name': 'placebo', 'description': 'placebo bid \\*days 1-14). oral (capsule) administration.', 'armgrouplabels': ['placebo']}]",True,unforeseeable difficulties in recruiting patients. there were no reported serious adverse events.,True,emricasan
NCT06138327,A Study of BMN 255 in Participants With Non-Alcoholic Fatty Liver Disease And Hyperoxaluria,,[],WITHDRAWN,The study was withdrawn because BioMarin decided to end the overall development program. The study withdrawal was not due to any patient safety concerns.,"[{'type': 'DRUG', 'name': 'BMN 255', 'description': 'Oral Capsule', 'armGroupLabels': ['BMN 255 Investigational drug arm']}, {'type': 'DRUG', 'name': 'Placebo', 'description': 'Oral Capsule', 'armGroupLabels': ['Placebo Comparative drug arm']}]","['Hyperoxaluria', 'Nonalcoholic Fatty Liver Disease', 'Kidney Stone']",BioMarin Pharmaceutical,"[{'type': 'drug', 'name': 'bmn 255', 'description': 'oral capsule', 'armgrouplabels': ['bmn 255 investigational drug arm']}, {'type': 'drug', 'name': 'placebo', 'description': 'oral capsule', 'armgrouplabels': ['placebo comparative drug arm']}]",True,the study was withdrawn because biomarin decided to end the overall development program. the study withdrawal was not due to any patient safety concerns.,True,bmn 255
NCT04140591,Proton Pump Inhibitor Plus Propranolol Versus Proton Pump Inhibitor Alone on Peptic Ulcer Healing in Patients With Liver Cirrhosis,"Portal hypertension is responsible for the development of portosystemic collaterals. The hemodynamic alternations may result in mucosal and vascular changes along gastrointestinal (GI) tract as well. According to several epidemiological studies, cirrhotic patients are at a higher risk of developing peptic ulcers, delayed healing, and a higher frequency of ulcer recurrence. The death rate from peptic ulcer disease in cirrhotic patients has been reported to be five times higher than that of the general population. The exact mechanism remains incompletely understood, but may be related to impaired mucosal defense mechanisms. Aggressive factors such as Helicobacter pylori and gastric acid may not be the predominant etiology in such circumstances. Sarfeh et al. found gastric mucosa of portal hypertensive rats, compared with that of controls, has distinctive functional and histologic abnormalities that can explain its increased susceptibility to erosive injury. Auroux et al. found gastroduodenal ulcer was independently associated only with the severity of the hypertensive gastropathy in cirrhotics. Chen et al. found portal hypertension with a hepatic venous pressure gradient \> 12 mmHg may be an important factor contributing to the increased prevalence of gastric ulcer observed in patients with liver cirrhosis. Thereby, we presumed that clinically significant portal hypertension may play a role in development of peptic ulcer in cirrhotic patients. Lebrec et al. elucidated non-selective beta-blocker (NSBB) could significantly decrease portal pressure and lower the risk of GI bleeding in patients with cirrhosis. Kitano et al. found portal hypotensive treatment with NSBB, reduces ethanol-induced gastric mucosal damage in portal hypertensive rats and improves endoscopic signs of portal hypertensive gastropathy in cirrhosis patients. We designed a 2-year randomized trial to evaluate the effectiveness of proton pump inhibitor with or without propranolol on ulcer healing and the incidence of ulcer bleeding in patients with cirrhosis and peptic ulcers.",[],TERMINATED,1. Most patients with liver cirrhosis already use PPI and NSBB 2. 90 % Peptic ulcer size is smaller than 5cm,"[{'type': 'DRUG', 'name': 'Proton-pump inhibitor', 'description': 'PPI: Pariet EC 20mg/QDAC', 'armGroupLabels': ['Proton-pump inhibitor'], 'otherNames': ['Pariet EC', 'PPI']}, {'type': 'DRUG', 'name': 'Propranolol+Proton-pump inhibitor', 'description': 'Propranolol 10mg BID initially and titrate dosage every week to achieve 25% drop of heart rate (keep heart rate\\>55 or systemic blood pressure \\>90mmHg) PPI: Pariet EC 20mg/QDAC', 'armGroupLabels': ['Propranolol+Proton-pump inhibitor'], 'otherNames': ['Inderal', 'Cardolol']}]","['Liver Cirrhosis', 'Peptic Ulcer']","Taipei Veterans General Hospital, Taiwan","[{'type': 'drug', 'name': 'proton-pump inhibitor', 'description': 'ppi: pariet ec 20mg/qdac', 'armgrouplabels': ['proton-pump inhibitor'], 'othernames': ['pariet ec', 'ppi']}, {'type': 'drug', 'name': 'propranolol+proton-pump inhibitor', 'description': 'propranolol 10mg bid initially and titrate dosage every week to achieve 25% drop of heart rate (keep heart rate\\>55 or systemic blood pressure \\>90mmhg) ppi: pariet ec 20mg/qdac', 'armgrouplabels': ['propranolol+proton-pump inhibitor'], 'othernames': ['inderal', 'cardolol']}]",True,1. most patients with liver cirrhosis already use ppi and nsbb 2. 90 % peptic ulcer size is smaller than 5cm,True,proton-pump inhibitor
NCT04161391,"Study of TPX-0046, A RET/SRC Inhibitor in Adult Subjects With Advanced Solid Tumors Harboring RET Fusions or Mutations","Phase 1 Dose Escalation and Dose Expansion: To evaluate the overall safety profile, characterize the PK profiles and assess the preliminary efficacy of TPX-0046 in adults subjects with advanced solid tumors harboring oncogenic RET fusions or mutations.

Food Effect Sub-Study: To determine the effect of food on PK of TPX-0046 in adult subjects with advanced or metastatic solid tumors harboring oncogenic RET fusions or mutations.

Phase 2 Efficacy Evaluation: To determine the overall safety and anti-tumor efficacy of TPX-0046 in defined cohorts of subjects with advanced/metastatic solid tumors harboring oncogenic RET fusions or mutations.",[],TERMINATED,Adverse change in the risk/benefit.,"[{'type': 'DRUG', 'name': 'TPX-0046', 'description': 'Oral TPX-0046 capsules', 'armGroupLabels': ['TPX-0046']}]","['Non Small Cell Lung Cancer', 'Medullary Thyroid Cancer', 'RET Gene Mutation', 'Metastatic Solid Tumor', 'Advanced Solid Tumor']","Turning Point Therapeutics, Inc.","[{'type': 'drug', 'name': 'tpx-0046', 'description': 'oral tpx-0046 capsules', 'armgrouplabels': ['tpx-0046']}]",True,adverse change in the risk/benefit.,True,tpx-0046
NCT00402662,A Study of Everolimus in Combination With Imatinib in Metastatic Melanoma,,[],TERMINATED,unexpected level of toxicity,"[{'type': 'DRUG', 'name': 'everolimus'}, {'type': 'DRUG', 'name': 'Imatinib'}]",['Metastatic Melanoma'],Yale University,"[{'type': 'drug', 'name': 'everolimus'}, {'type': 'drug', 'name': 'imatinib'}]",True,unexpected level of toxicity,True,everolimus
NCT04583280,A Study of Rilematovir in Infants and Children and Subsequently in Neonates Hospitalized With Acute Respiratory Tract Infection Due to Respiratory Syncytial Virus (RSV),"Respiratory syncytial virus (RSV), a negative-stranded ribonucleic acid (RNA) virus belonging to the Pneumoviridae family, is considered the most important cause of acute lower respiratory tract infection (LRTI) in infants and young children. In most patients, RSV results in upper respiratory tract infection (URTI) eliciting ""common cold""-like symptoms, which might last up to 2 weeks, and are usually self-limiting. RSV-related LRTI is a major cause of hospital admissions and death in young children worldwide. Rilematovir is an investigational, small molecule, RSV fusion inhibitor. This study aims to evaluate the efficacy and safety of rilematovir in hospitalized infants and children (greater than or equal to \[\>=\] 28 days to less than or equal to \[\<=\] 5 years) and, subsequent to completion of the neonatal substudy, in hospitalized neonates (born at term, less than \[\<\] 28 days of age) with RSV infection. The study will include a Screening Period, a Treatment Period, and a Follow-up Period. The total study duration for each participant will be approximately 36 days (Screening included). The efficacy assessments include evaluation under the RRS and the safety assessments include evaluations of physical examinations, vital signs, electrocardiograms, clinical laboratory tests, and adverse events.",[],TERMINATED,Janssen made the strategic decision to discontinue the DAISY study. This decision is not based on any safety concerns.,"[{'type': 'DRUG', 'name': 'Rilematovir', 'description': 'Participants of age group greater than or equal to (\\>=) 28 days to less than (\\<) 3 months (age group 1) or \\>= 3 months to \\< 6 months (age group 2) or \\>= 6 months to less than or equal to (\\<=) 5 years (age group 3) will receive rilematovir orally twice a day (BID) from Days 1 to Day 7 or Day 8.', 'armGroupLabels': ['Rilematovir'], 'otherNames': ['JNJ-53718678']}, {'type': 'DRUG', 'name': 'Rilematovir X mg/kg', 'description': 'Participants of age group birth at term (after at least 37 weeks of gestation) to \\< 28 days (age group 4) will receive rilematovir orally BID from Days 1 to Day 7 or Day 8. The dose is dependent on outcome of the substudy in neonates and following independent data monitoring (IDMC) review and recommendation.', 'armGroupLabels': ['Rilematovir'], 'otherNames': ['JNJ-53718678']}, {'type': 'DRUG', 'name': 'Placebo', 'description': 'Participant of age group 1, 2, 3 and 4 will receive matching placebo of rilematovir BID from Days 1 to Day 7 or Day 8 as per assigned age group.', 'armGroupLabels': ['Placebo']}]",['Respiratory Tract Infections'],"Janssen Research & Development, LLC","[{'type': 'drug', 'name': 'rilematovir', 'description': 'participants of age group greater than or equal to (\\>=) 28 days to less than (\\<) 3 months (age group 1) or \\>= 3 months to \\< 6 months (age group 2) or \\>= 6 months to less than or equal to (\\<=) 5 years (age group 3) will receive rilematovir orally twice a day (bid) from days 1 to day 7 or day 8.', 'armgrouplabels': ['rilematovir'], 'othernames': ['jnj-53718678']}, {'type': 'drug', 'name': 'rilematovir x mg/kg', 'description': 'participants of age group birth at term (after at least 37 weeks of gestation) to \\< 28 days (age group 4) will receive rilematovir orally bid from days 1 to day 7 or day 8. the dose is dependent on outcome of the substudy in neonates and following independent data monitoring (idmc) review and recommendation.', 'armgrouplabels': ['rilematovir'], 'othernames': ['jnj-53718678']}, {'type': 'drug', 'name': 'placebo', 'description': 'participant of age group 1, 2, 3 and 4 will receive matching placebo of rilematovir bid from days 1 to day 7 or day 8 as per assigned age group.', 'armgrouplabels': ['placebo']}]",True,janssen made the strategic decision to discontinue the daisy study. this decision is not based on any safety concerns.,True,rilematovir
NCT05429762,Effect of Tusamitamab Ravtansine on QTc Interval in Participants With Metastatic Solid Tumors,"This is a single arm study in which participants will receive treatment with tusamitamab ravtansine until disease progression, unacceptable toxicity, the start of a new anti-cancer therapy, or the participant's or Investigator's decision to stop the treatment, whichever comes first.",[],TERMINATED,Tusamitamab ravtansine clinical development program is discontinued as CARMEN-LC03 trial did not meet dual primary endpoint of improving progression-free survival. The decision is not related to any safety concern.,"[{'type': 'DRUG', 'name': 'Tusamitamab ravtansine', 'description': 'Pharmaceutical form: Concentrated solution for intravenous (IV) administration; Route of administration: IV infusion', 'armGroupLabels': ['Tusamitamab ravtansine'], 'otherNames': ['SAR408701']}]",['Neoplasm'],Sanofi,"[{'type': 'drug', 'name': 'tusamitamab ravtansine', 'description': 'pharmaceutical form: concentrated solution for intravenous (iv) administration; route of administration: iv infusion', 'armgrouplabels': ['tusamitamab ravtansine'], 'othernames': ['sar408701']}]",True,tusamitamab ravtansine clinical development program is discontinued as carmen-lc03 trial did not meet dual primary endpoint of improving progression-free survival. the decision is not related to any safety concern.,True,tusamitamab ravtansine
NCT04849273,"A Study of TPX-0131, a Novel Oral ALK Tyrosine Kinase Inhibitor, in Patients With ALK+ Advanced or Metastatic NSCLC","Phase 1 Dose Escalation: To evaluate the overall safety profile, efficacy of TPX-0131 in pretreated subjects with ALK+ advanced or metastatic NSCLC.",[],TERMINATED,Adverse change in the risk/benefit.,"[{'type': 'DRUG', 'name': 'TPX-0131', 'description': 'Oral TPX-0131 tablets', 'armGroupLabels': ['TPX-0131']}]","['Non Small Cell Lung Cancer', 'Non-Small Cell Lung Cancer', 'NSCLC', 'Advanced Solid Tumor', 'Metastatic Solid Tumor', 'ALK Gene Mutation']","Turning Point Therapeutics, Inc.","[{'type': 'drug', 'name': 'tpx-0131', 'description': 'oral tpx-0131 tablets', 'armgrouplabels': ['tpx-0131']}]",True,adverse change in the risk/benefit.,True,tpx-0131
